tconst,primaryTitle,startYear,runtimeMinutes,number_of_languages,budget,is_in_collection,release_month,popular_actors_count,rated_unknown,rated_R,rated_MA,rated_Unrated,rated_PG,rated_TV-14,rated_PG-13,rated_G,genre_Mystery,genre_Adventure,genre_Drama,genre_Action,genre_Comedy,genre_Documentary,genre_Thriller,genre_Romance,genre_Horror,genre_Crime,genre_unknown,AverageRating,rating_bins
tt0013274,Istoriya grazhdanskoy voyny,2021,133,7,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.4,C
tt0062336,The Tango of the Widower and Its Distorting Mirror,2020,70,10,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,C
tt0069049,The Other Side of the Wind,2018,122,22,12000000,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.7,C
tt0083060,The Drive to Win,2019,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6,C
tt0100275,The Wandering Soap Opera,2017,80,8,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.4,C
tt0104988,Neues in Wittstock,2021,100,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.4,A
tt0120589,A Dangerous Practice,2022,108,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.3,B
tt0137204,Joe Finds Grace,2017,83,5,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.6,A
tt0137818,Housesitter: The Night They Saved Siegfried's Brain,2018,95,4,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.9,E
tt0170155,A Letter from Beirut,2019,50,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,C
tt0192528,Heaven & Hell,2018,104,2,5000000,0,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,E
tt0195933,Mysteries,2019,0,3,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,B
tt0199602,Holy Hollywood,2021,82,3,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.7,C
tt0265705,Saurians,2022,83,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,E
tt0283145,Wielka droga,2022,87,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.5,D
tt0293429,Mortal Kombat,2021,110,53,20000000,1,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.1,C
tt0328810,My Land,2018,102,4,0,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8,B
tt0331314,Bunyan and Babe,2017,84,9,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4.9,E
tt0339736,The Evil Within,2017,98,12,4000000,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.5,D
tt0339917,Husband and Wife,2019,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,D
tt0360556,Fahrenheit 451,2018,100,28,0,0,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4.9,E
tt0365545,Nappily Ever After,2018,98,21,0,0,9,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6.4,C
tt0385887,Motherless Brooklyn,2019,144,41,26000000,0,11,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6.8,C
tt0400871,Take Out,2022,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.5,B
tt0427543,A Million Little Pieces,2018,113,24,0,0,12,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.2,C
tt0437086,Alita: Battle Angel,2019,122,53,170000000,0,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7.3,B
tt0441881,Danger Close,2019,118,33,23934823,0,11,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6.8,C
tt0448115,Shazam!,2019,132,46,80000000,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,7.0,B
tt0451201,Clawed,2017,95,3,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,E
tt0451279,Wonder Woman,2017,141,51,149000000,1,6,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7.4,B
tt0460890,The Only Living Boy in New York,2017,89,28,0,0,7,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,C
tt0473100,Ten Tricks,2022,88,10,0,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.1,C
tt0491175,Suburbicon,2017,105,37,25000000,0,10,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5.7,D
tt0491203,Tulip Fever,2017,105,40,25000000,0,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.2,C
tt0493405,CHIPS,2017,100,35,25000000,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6.0,C
tt0498381,Rings,2017,102,40,25000000,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,4.5,E
tt0499097,Without Remorse,2021,109,45,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.7,D
tt0783640,The Last Full Measure,2019,116,28,20000000,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.8,C
tt0800325,The Dirt,2019,107,28,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.0,B
tt0805647,The Witches,2020,106,48,0,0,10,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.3,D
tt0810001,Glastonbury Fayre,2018,87,5,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,C
tt0810836,Dirt Music,2019,105,10,0,0,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5.3,D
tt0818543,Z,2021,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.8,C
tt0825334,Caravaggio and My Mother the Pope,2017,90,4,0,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.4,A
tt0835802,Krystal,2017,90,10,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5.5,D
tt0837563,Pet Sematary,2019,101,52,21000000,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5.7,D
tt0858419,Bolden,2019,108,7,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.5,D
tt0859635,Super Troopers 2,2018,100,24,13500000,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,6.0,C
tt0862930,Dukun,2018,108,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.6,C
tt0870154,Jungle Cruise,2021,127,62,200000000,1,7,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,6.6,C
tt0920462,Lost Girls and Love Hotels,2020,97,31,0,0,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.7,E
tt0926132,Road to Red,2020,120,9,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.8,E
tt0933054,Jazz in Poland,2022,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,B
tt0972544,Back Roads,2018,101,13,0,0,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6.5,C
tt0974015,Justice League,2017,120,55,300000000,0,11,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,6.1,C
tt0983946,Fantasy Island,2020,109,49,7000000,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4.9,E
tt0993840,Army of the Dead,2021,148,44,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,5.7,D
