actor_ids,actor_names,actor_points
nm0000093,Brad Pitt,174697
nm0000151,Morgan Freeman,169322
nm0000138,Leonardo DiCaprio,165028
nm0000134,Robert De Niro,151313
nm0000354,Matt Damon,140716
nm0000323,Michael Caine,137003
nm0000288,Christian Bale,126932
nm0000158,Tom Hanks,119774
nm0000198,Gary Oldman,112643
nm0000199,Al Pacino,106454
nm0000246,Bruce Willis,97268
nm0001570,Edward Norton,90851
nm0000148,Harrison Ford,88197
nm0000136,Johnny Depp,84624
nm0614165,Cillian Murphy,79799
nm0000168,Samuel L. Jackson,78876
nm0000146,Ralph Fiennes,77799
nm0000228,Kevin Spacey,73563
nm0362766,Tom Hardy,72957
nm0000197,Jack Nicholson,72904
nm0000129,Tom Cruise,69889
nm0000450,Philip Seymour Hoffman,68995
nm0000380,Robert Duvall,66238
nm0331516,Ryan Gosling,63982
nm0000128,Russell Crowe,63650
nm0000553,Liam Neeson,62922
nm0000114,Steve Buscemi,62549
nm0350453,Jake Gyllenhaal,62972
nm0000437,Woody Harrelson,61146
nm0330687,Joseph Gordon-Levitt,61094
nm0749263,Mark Ruffalo,60975
nm0000172,Harvey Keitel,60431
nm0000123,George Clooney,60087
nm0000243,Denzel Washington,59857
nm0177896,Bradley Cooper,58148
nm0915989,Hugo Weaving,57041
nm0000179,Jude Law,55794
nm0000142,Clint Eastwood,55367
nm0001618,Joaquin Phoenix,54943
nm0000729,Casey Affleck,54670
nm0000190,Matthew McConaughey,53209
nm0000209,Tim Robbins,52954
nm0000438,Ed Harris,51974
nm0002253,John Carroll Lynch,51803
nm0929489,Tom Wilkinson,51617
nm0001426,Ben Kingsley,51423
nm0000206,Keanu Reeves,50129
nm0000353,Willem Dafoe,49911
nm0000457,John Hurt,49176
nm0001030,John Cazale,49039
nm0001608,Barry Pepper,48983
nm0000255,Ben Affleck,48591
nm0001467,Jared Leto,46997
nm0000401,Laurence Fishburne,46571
nm0185819,Daniel Craig,46163
nm0000195,Bill Murray,46073
nm0910607,Christoph Waltz,45674
nm0000619,Tim Roth,44850
nm0000453,Ian Holm,44814
nm1055413,Michael Fassbender,44481
nm0005132,Heath Ledger,44409
nm0089217,Orlando Bloom,44041
nm0000285,Alec Baldwin,43931
nm0000514,Michael Madsen,43787
nm0913822,Ken Watanabe,43522
nm0000592,Pete Postlethwaite,43278
nm0000640,Martin Sheen,43212
nm0001602,Guy Pearce,42962
nm0004937,Jamie Foxx,42916
nm0000164,Anthony Hopkins,42828
nm0252230,Chiwetel Ejiofor,42680
nm0000614,Alan Rickman,41906
nm0001691,Geoffrey Rush,41857
nm0000163,Dustin Hoffman,41711
nm0000582,Joe Pesci,41464
nm0322407,Brendan Gleeson,41279
nm0000242,Mark Wahlberg,41149
nm0316079,Paul Giamatti,41093
nm0000160,Ethan Hawke,40666
nm0000226,Will Smith,40344
nm0000422,John Goodman,39805
nm0001884,Max von Sydow,39750
nm0000502,Christopher Lloyd,39683
nm0001626,Christopher Plummer,39094
nm1212722,Benedict Cumberbatch,38644
nm0788335,Michael Shannon,38601
nm0932112,Mykelti Williamson,37963
nm0000008,Marlon Brando,37869
nm0004778,Adrien Brody,37869
nm0200452,Paul Dano,37792
nm0001745,Stellan Skarsgård,37576
nm0000332,Don Cheadle,37418
nm0005562,Owen Wilson,37218
nm0117709,Daniel Brühl,37180
nm0001125,Benicio Del Toro,36780
nm0719637,Jeremy Renner,36442
nm0001804,Stanley Tucci,36295
nm0001765,Harry Dean Stanton,36291
nm0000375,Robert Downey Jr.,36265
nm0001173,Aaron Eckhart,36156
nm0001136,Bruce Dern,35670
nm0001321,Richard Harris,35510
nm0302108,Zach Galifianakis,35406
nm0151419,Kyle Chandler,35387
nm0001744,Tom Sizemore,34838
nm0000661,Donald Sutherland,34640
nm0000245,Robin Williams,34627
nm0268199,Colin Farrell,34374
nm0000120,Jim Carrey,34227
nm0000237,John Travolta,34178
nm0001285,Elliott Gould,34116
nm0005377,Sam Rockwell,33849
nm0000362,Danny DeVito,33688
nm0000125,Sean Connery,33663
