actress_ids,actress_names,actress_points
nm0000204,Natalie Portman,64117
nm2225369,Jennifer Lawrence,60204
nm0000705,Robin Wright,57521
nm0000949,Cate Blanchett,57412
nm0004266,Anne Hathaway,56731
nm0001735,Talia Shire,54709
nm0000194,Julianne Moore,53266
nm0000473,Diane Keaton,52796
nm2244205,Léa Seydoux,52174
nm0461136,Keira Knightley,50689
nm0000235,Uma Thurman,50584
nm0182839,Marion Cotillard,49295
nm0424060,Scarlett Johansson,48093
nm1567113,Jessica Chastain,47837
nm0010736,Amy Adams,47662
nm0000307,Helena Bonham Carter,47201
nm0000701,Kate Winslet,46637
nm0267812,Vera Farmiga,44087
nm0000658,Meryl Streep,43263
nm0000149,Jodie Foster,42826
nm0350454,Maggie Gyllenhaal,41787
nm0000113,Sandra Bullock,39829
nm0842770,Tilda Swinton,39274
nm0000569,Gwyneth Paltrow,39032
nm0000531,Frances McDormand,38115
nm0000213,Winona Ryder,37977
nm0000244,Sigourney Weaver,37156
nm0005251,Carrie-Anne Moss,36874
nm0001057,Toni Collette,36855
nm0000124,Jennifer Connelly,36564
nm0001132,Judi Dench,36468
nm0502425,Melissa Leo,34656
nm0000402,Carrie Fisher,34017
nm0001625,Amanda Plummer,33270
nm0365140,Naomie Harris,33172
nm0000210,Julia Roberts,31983
nm0356017,Rebecca Hall,31969
nm1297015,Emma Stone,31836
nm1017334,Juno Temple,31821
nm0000398,Sally Field,31640
nm1046097,Rachel McAdams,31619
nm0000435,Daryl Hannah,31397
nm1157358,Michelle Monaghan,30575
nm0000173,Nicole Kidman,30503
nm0004950,Jennifer Garner,29970
nm1659547,Carey Mulligan,29950
nm0607865,Emily Mortimer,29417
nm0915208,Naomi Watts,29246
nm0931329,Michelle Williams,28923
nm1208167,Diane Kruger,28878
nm0000870,Kathy Bates,28242
nm0491259,Mélanie Laurent,28040
nm0005466,Julia Stiles,27975
nm3053338,Margot Robbie,27832
nm0205626,Viola Davis,27685
nm0001473,Laura Linney,26846
nm0914612,Emma Watson,26500
nm0000234,Charlize Theron,26282
nm0000275,Rosanna Arquette,26237
nm0931404,Olivia Williams,26219
nm0001416,Catherine Keener,25861
nm0103797,Alice Braga,25363
nm0165101,Patricia Clarkson,25263
nm0757855,Zoe Saldana,24906
nm0680983,Elliot Page,24537
nm1102577,Elle Fanning,24330
nm0913488,Kerry Washington,24210
nm0000139,Cameron Diaz,23982
nm0001749,Maggie Smith,23927
nm1325419,Kristen Wiig,23641
nm0000260,Joan Allen,23630
nm0006969,Elizabeth Banks,23590
nm0818055,Octavia Spencer,23457
nm0000492,Jennifer Jason Leigh,23423
nm0000906,Annette Bening,23395
nm1913734,Rooney Mara,23255
nm0000379,Kirsten Dunst,23229
nm0005299,Sarah Paulson,23137
